WABA Name,Product,Conversations,Total
,United Arab Emirates - Marketing,523,17.76
 Pak Telecom Mobile Limited / 105909172109033,France - Marketing,7,0.98
,France - Service,2,0.18
,Germany - Marketing,14,1.93
,India - Marketing,3,0.03
,Indonesia - Marketing,3,0.12
,Italy - Marketing,12,0.84
,Italy - Service,3,0.12
,Malaysia - Marketing,18,1.58
,Malaysia - Service,3,0.06
,Netherlands - Marketing,6,0.96
,Netherlands - Service,1,0.09
,Nigeria - Marketing,5,0.25
,North America - Marketing,103,2.63
,North America - Service,12,0.12
,Other - Marketing,18,1.08
,Other - Service,2,0.02
,Pakistan - Marketing,20429,966.26
,Pakistan - Service,3472,49.30
,Rest of Africa - Marketing,10,0.22
,Rest of Asia Pacific - Marketing,60,4.37
,Rest of Asia Pacific - Service,5,0.10
,Rest of Central & Eastern Europe - Marketing,12,1.06
,Rest of Middle East - Marketing,203,6.91
,Rest of Middle East - Service,21,0.43
,Rest of Western Europe - Marketing,33,1.98
,Rest of Western Europe - Service,2,0.08
,Saudi Arabia - Marketing,226,9.17
,Saudi Arabia - Service,18,0.36
,South Africa - Marketing,2,0.08
,Spain - Marketing,3,0.18
,Turkey - Marketing,13,0.13
,Turkey - Service,2,0.00
,United Arab Emirates - Marketing,773,26.28
,United Arab Emirates - Service,49,0.98
,United Kingdom - Marketing,116,8.13
,United Kingdom - Service,8,0.32
 Pakistan Cables Limited / 1001012800772338,France - Service,1,0.09
,Germany - Service,1,0.08
,India - Service,1,0.00
,Italy - Service,1,0.04
,North America - Marketing,1,0.03
,Pakistan - Marketing,6698,316.80
,Pakistan - Service,1359,19.32
,Rest of Africa - Service,2,0.08
,Rest of Asia Pacific - Service,9,0.18
,Rest of Middle East - Marketing,1,0.03
,Rest of Middle East - Service,1,0.02
,Rest of Western Europe - Service,1,0.04
,Saudi Arabia - Service,4,0.08
,United Arab Emirates - Marketing,1,0.03
,United Arab Emirates - Service,6,0.12
 PakQatar Family Takaful Limited / 296255985257944,Pakistan - Service,1897,26.92
,Rest of Asia Pacific - Service,1,0.02
,Rest of Middle East - Service,1,0.02
,Saudi Arabia - Service,7,0.14
,United Arab Emirates - Service,6,0.12
,United Kingdom - Service,1,0.04
 Punjab Healthcare Commission / 112466955212179,Pakistan - Service,1032,14.68
,Saudi Arabia - Service,3,0.06
,United Arab Emirates - Service,1,0.02
,United Kingdom - Service,1,0.04
 Savyour (Private) Limited / 732687961005950,Brazil - Service,1,0.03
,Italy - Service,5,0.20
,North America - Service,9,0.09
,Pakistan - Marketing,452,21.38
,Pakistan - Service,6417,91.13
,Rest of Asia Pacific - Service,2,0.04
,Rest of Central & Eastern Europe - Service,2,0.06
,Rest of Middle East - Service,5,0.10
,Rest of Western Europe - Service,2,0.08
,Saudi Arabia - Service,8,0.16
,South Africa - Service,1,0.02
,United Arab Emirates - Service,14,0.28
,United Kingdom - Service,4,0.16
 Special Communications Organization / 112163335226450,Germany - Service,1,0.08
,Italy - Service,1,0.04
,Malaysia - Service,1,0.02
,North America - Service,16,0.16
,Other - Service,1,0.01
,Pakistan - Service,12205,173.31
,Rest of Africa - Service,1,0.04
,Rest of Asia Pacific - Service,5,0.10
,Rest of Central & Eastern Europe - Service,3,0.09
,Rest of Middle East - Service,13,0.27
,Saudi Arabia - Service,22,0.44
,Turkey - Service,2,0.00
,United Arab Emirates - Service,43,0.86
,United Kingdom - Service,42,1.67
 SSFR PVT. LTD / 1868778473281886,France - Service,3,0.27
,Germany - Service,10,0.81
,India - Service,35,0.11
,Indonesia - Service,1,0.02
,Italy - Service,1,0.04
,Malaysia - Service,1,0.02
,Netherlands - Service,5,0.45
,Nigeria - Service,5,0.15
,North America - Service,299,2.64
,Other - Service,15,0.18
,Pakistan - Service,1426,20.26
,Rest of Africa - Service,5,0.20
,Rest of Asia Pacific - Service,60,1.31
,Rest of Latin America - Service,6,0.25
,Rest of Middle East - Service,26,0.53
,Rest of Western Europe - Service,19,0.76
,Saudi Arabia - Service,29,0.58
,South Africa - Service,3,0.06
,Spain - Service,1,0.04
,United Arab Emirates - Service,82,1.60
,United Kingdom - Service,321,12.45
 TCS (Private) Limited / 159693416182041,Brazil - Service,2,0.06
,Egypt - Service,3,0.18
,France - Service,31,2.69
,Germany - Service,69,5.65
,India - Service,57,0.20
,Indonesia - Service,6,0.12
,Italy - Service,61,2.40
,Malaysia - Service,41,0.88
,Mexico - Service,3,0.03
,Netherlands - Service,22,1.98
,Nigeria - Service,7,0.21
,North America - Service,545,4.79
,Other - Service,124,1.77
,Pakistan - Service,116233,1650.49
,Rest of Africa - Service,38,1.42
,Rest of Asia Pacific - Service,298,6.66
,Rest of Central & Eastern Europe - Service,54,1.42
,Rest of Latin America - Service,7,0.28
,Rest of Middle East - Service,386,8.43
,Rest of Western Europe - Service,139,5.56
,Russia - Service,9,0.36
,Saudi Arabia - Service,847,16.50
,South Africa - Service,32,0.52
,Spain - Service,146,5.38
,Turkey - Service,24,0.06
,United Arab Emirates - Service,1241,23.62
,United Kingdom - Service,720,27.94
 The Aga Khan Hospital and Medical College Foundation / 105212462355536,Germany - Service,5,0.40
,India - Service,3,0.00
,Italy - Service,1,0.04
,Malaysia - Service,1,0.02
,Netherlands - Service,1,0.09
,Nigeria - Service,2,0.06
,North America - Service,38,0.36
,Other - Service,5,0.05
,Pakistan - Service,10651,151.22
,Rest of Africa - Service,17,0.67
,Rest of Asia Pacific - Service,51,1.11
,Rest of Middle East - Service,33,0.68
,Rest of Western Europe - Service,12,0.48
,Saudi Arabia - Service,45,0.90
,South Africa - Service,1,0.02
,Turkey - Service,4,0.00
,United Arab Emirates - Service,89,1.76
,United Kingdom - Service,42,1.68
 Unilever Food Solutions / 110839815160904,Pakistan - Marketing,57,2.67
 Zod Tech (Pvt) Ltd / 105137209067233,North America - Authentication,3,0.03
,United Kingdom - Authentication,3,0.12
