Product,Price type,Conversations,Discount percentage,Total
Saudi Arabia - Service,List,3,--,$0.06
South Africa - Service,List,1,--,$0.02
Spain - Service,List,1,--,$0.04
Product,Price type,Conversations,Discount percentage,Total
United Arab Emirates - Service,List,12,--,$0.24
United Kingdom - Service,List,10,--,$0.40
,,,,$29.84
,,,,USD
SSFR PVT. LTD,,,,
France - Service,List,3,--,$0.26
Germany - Service,List,11,--,$0.88
India - Service,List,50,--,$0.20
Indonesia - Service,List,1,--,$0.02
Italy - Service,List,9,--,$0.36
Malaysia - Service,List,6,--,$0.12
Netherlands - Service,List,7,--,$0.63
North America - Service,List,421,--,$3.70
Other - Service,List,11,--,$0.14
Pakistan - Service,List,"1,519",--,$21.56
Rest of Africa - Service,List,12,--,$0.44
Rest of Asia Pacific - Service,List,105,--,$2.35
Rest of Central & Eastern Europe - Service,List,3,--,$0.09
Rest of Latin America - Service,List,3,--,$0.12
Rest of Middle East - Service,List,54,--,$1.19
Rest of Western Europe - Service,List,24,--,$0.96
Saudi Arabia - Service,List,37,--,$0.74
South Africa - Service,List,1,--,$0.02
Spain - Service,List,8,--,$0.31
United Arab Emirates - Service,List,139,--,$2.65
United Kingdom - Service,List,455,--,$17.63
,,,,$54.37
,,,,USD
TCS (Private) Limited,,,,
Brazil - Service,List,2,--,$0.06
Chile - Service,List,1,--,$0.05
Egypt - Service,List,8,--,$0.50
France - Service,List,18,--,$1.57
Germany - Service,List,64,--,$5.23
India - Service,List,31,--,$0.08
Indonesia - Service,List,7,--,$0.14
Italy - Service,List,35,--,$1.38
Malaysia - Service,List,33,--,$0.69
Netherlands - Service,List,9,--,$0.81
Nigeria - Service,List,13,--,$0.39
North America - Service,List,469,--,$4.14
Other - Service,List,108,--,$1.58
Pakistan - Service,List,"86,901",--,"$1,233.96"
Rest of Africa - Service,List,28,--,$1.03
Product,Price type,Conversations,Discount percentage,Total
Rest of Asia Pacific - Service,List,195,--,$4.35
Rest of Central & Eastern Europe - Service,List,31,--,$0.84
Rest of Latin America - Service,List,1,--,$0.04
Rest of Middle East - Service,List,347,--,$7.55
Rest of Western Europe - Service,List,122,--,$4.88
Russia - Service,List,4,--,$0.16
Saudi Arabia - Service,List,762,--,$14.87
South Africa - Service,List,23,--,$0.42
Spain - Service,List,110,--,$4.04
Turkey - Service,List,30,--,$0.09
United Arab Emirates - Service,List,965,--,$18.34
United Kingdom - Service,List,552,--,$21.39
,,,,"$1,328.58"
,,,,USD
The Aga Khan Hospital and Medical College,,,,
Foundation,,,,
Argentina - Service,List,1,--,$0.03
Egypt - Service,List,1,--,$0.06
Germany - Service,List,2,--,$0.16
India - Service,List,5,--,$0.01
Malaysia - Service,List,1,--,$0.02
Netherlands - Service,List,1,--,$0.09
Nigeria - Service,List,4,--,$0.12
North America - Service,List,38,--,$0.36
Other - Service,List,5,--,$0.06
Pakistan - Service,List,"6,419",--,$91.16
Rest of Africa - Service,List,10,--,$0.39
Rest of Asia Pacific - Service,List,31,--,$0.69
Rest of Latin America - Service,List,1,--,$0.04
Rest of Middle East - Service,List,27,--,$0.57
Rest of Western Europe - Service,List,4,--,$0.16
Saudi Arabia - Service,List,58,--,$1.15
South Africa - Service,List,1,--,$0.02
Turkey - Service,List,2,--,$0.00
United Arab Emirates - Service,List,57,--,$1.12
United Kingdom - Service,List,17,--,$0.67
,,,,$96.88
,,,,USD
Unilever Food Solutions,,,,
North America - Marketing,List,1,--,$0.03
Pakistan - Marketing,List,125,--,$5.93
Rest of Africa - Marketing,List,1,--,$0.02
,,,,$5.98
,,,,USD
Product,Price type,Conversations,Discount percentage,Total
Zod Tech (Pvt) Ltd,,,,
North America - Authentication,List,1.0,--,$0.01
United Kingdom - Authentication,List,9.0,--,$0.33
,,,,$0.34
,,,,USD
